@relation incendios

@attribute 'mediasR' numeric
@attribute 'mediasG' numeric
@attribute 'mediasB' numeric
@attribute 'desvStdR' numeric
@attribute 'desvStdG' numeric
@attribute 'desvStdB' numeric
@attribute 'entropiasR' numeric
@attribute 'entropiasG' numeric
@attribute 'entropiasB' numeric
@attribute 'modaBN' numeric
@attribute 'rangosContrasteR' numeric
@attribute 'rangosContrasteG' numeric
@attribute 'rangosContrasteB' numeric
@attribute 'pendienteOscuridad' numeric
@attribute 'pendienteBrillo' numeric
@attribute 'brilloLimpia' numeric
@attribute 'coeficientesCorrelacionR' numeric
@attribute 'coeficientesCorrelacionG' numeric
@attribute 'coeficientesCorrelacionB' numeric
@attribute 'factorContraste' numeric
@attribute 'anisotropiasR' numeric
@attribute 'anisotropiasG' numeric
@attribute 'anisotropiasB' numeric


@attribute 'class' {nada,humo,fuego}
@data
8.396,2.940,6.324,4.665,1.746,3.430,2.866,2.309,2.422,0,30,12,22,67.571,3.173,7,76.000,319.000,250.000,1.000,3.441,1.692,1.718,nada
7.495,3.023,5.954,4.345,1.682,3.469,1.878,1.780,1.744,0,24,12,20,112.000,4.516,7,154.000,1024.000,1040.000,1.000,2.940,1.716,2369.046,nada
0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0,0,0,0,0.000,6.776,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nada
0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0,0,0,0,0.000,6.776,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nada
0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0,0,0,0,0.000,6.776,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nada
0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0,0,0,0,0.000,6.776,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nada
0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0,0,0,0,0.000,6.776,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nada
0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0,0,0,0,0.000,6.776,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nada
0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0,0,0,0,0.000,6.776,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nada
0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0,0,0,0,0.000,6.776,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nada
0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0,0,0,0,0.000,6.776,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nada
0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0,0,0,0,0.000,6.776,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nada
12.704,12.508,14.747,0.819,0.713,0.919,1.739,1.544,1.792,0,8,6,8,161.846,8.694,13,1012.000,1768.000,1856.000,0.120,0.500,0.500,0.500,nada
